CITY_DISTRICT_ID,SHIP_TO_CITY_CD,SHIP_TO_DISTRICT_NAME
558,北京,石景山区
559,桂林,阳朔县
560,上海,奉贤区
561,西宁,城西区
562,孝感,孝南区
563,泰安,岱岳区
564,潜江,潜江市
565,承德,双桥区
566,资阳,安岳县
567,沈阳,铁西区
568,临夏回族自治州,临夏市
569,嘉兴,海宁市
570,金华,永康市
571,永州,宁远县
572,焦作,博爱县
573,吉安,安福县
574,宿迁,泗阳县
575,福州,长乐区
576,沧州,运河区
577,泉州,惠安县
578,龙岩,新罗区
579,济南,历城区
580,重庆,涪陵区
581,哈尔滨,依兰县
582,福州,福清市
583,佳木斯,同江市
584,抚顺,顺城区
585,牡丹江,绥芬河市
586,金华,婺城区
587,苏州,吴中区
588,上饶,玉山县
589,南阳,宛城区
590,珠海,香洲区
591,成都,都江堰市
592,绥化,明水县
593,雅安,雨城区
594,白山,长白朝鲜族自治县
595,聊城,茌平区
596,宿州,埇桥区
597,宜春,樟树市
598,福州,马尾区
599,郑州,中原区
600,淄博,淄川区
601,咸阳,兴平市
602,长沙,岳麓区
603,重庆,南岸区
604,肇庆,四会市
605,凉山彝族自治州,西昌市
606,海口,秀英区
607,天津,静海区
608,西安,鄠邑区
609,吉安,遂川县
610,哈尔滨,阿城区
611,河源,东源县
612,商丘,睢阳区
613,三亚,天涯区
614,焦作,武陟县
615,延安,黄陵县
616,银川,金凤区
617,西安,灞桥区
618,威海,荣成市
619,绥化,海伦市
620,扬州,高邮市
621,阳泉,矿区
622,铁岭,银州区
623,济南,莱芜区
624,聊城,东昌府区
625,新乡,长垣市
626,吉林,磐石市
627,三门峡,陕州区
628,桂林,灵川县
629,铜川,耀州区
630,随州,曾都区
631,青岛,崂山区
632,白山,抚松县
633,潍坊,坊子区
634,许昌,禹州市
635,三明,梅列区
636,潍坊,青州市
637,包头,青山区
638,景德镇,浮梁县
639,北京,通州区
640,抚州,南城县
641,北京,门头沟区
642,北京,东城区
643,通辽,科尔沁区
644,衢州,常山县
645,聊城,莘县
646,淮南,潘集区
647,兰州,安宁区
648,连云港,赣榆区
649,崇左,龙州县
650,乌鲁木齐,米东区
651,青岛,黄岛区
652,吉林,船营区
653,宝鸡,陈仓区
654,曲靖,麒麟区
655,潍坊,安丘市
656,济宁,嘉祥县
657,梅州,蕉岭县
658,茂名,电白区
659,邯郸,邯山区
660,广元,利州区
661,温州,平阳县
662,昆明,官渡区
663,徐州,睢宁县
664,鸡西,鸡冠区
665,石家庄,裕华区
666,九江,濂溪区
667,黔南布依族苗族自治州,福泉市
668,新乡,牧野区
669,天津,和平区
670,巴中,平昌县
671,榆林,定边县
672,徐州,贾汪区
673,泰安,东平县
674,福州,鼓楼区
675,芜湖,无为市
676,扬州,仪征市
677,清远,清新区
678,长沙,浏阳市
679,郑州,巩义市
680,驻马店,泌阳县
681,六安,金安区
682,德宏傣族景颇族自治州,瑞丽市
683,佛山,高明区
684,盐城,阜宁县
685,常德,临澧县
686,芜湖,三山区
687,长春,二道区
688,开封,龙亭区
689,阜阳,颍东区
690,重庆,沙坪坝区
691,湖州,长兴县
692,柳州,柳南区
693,贵阳,白云区
694,深圳,盐田区
695,沈阳,沈河区
696,咸阳,秦都区
697,潮州,饶平县
698,唐山,滦州市
699,榆林,靖边县
700,遵义,播州区
701,柳州,柳江区
702,滁州,定远县
703,莆田,荔城区
704,福州,台江区
705,黔东南苗族侗族自治州,剑河县
706,黑河,嫩江市
707,南昌,青云谱区
708,杭州,下城区
709,南昌,西湖区
710,呼伦贝尔,莫力达瓦达斡尔族自治旗
711,乌鲁木齐,天山区
712,漯河,郾城区
713,石嘴山,大武口区
714,重庆,九龙坡区
715,承德,平泉市
716,淮南,寿县
717,通化,梅河口市
718,延边朝鲜族自治州,延吉市
719,汕尾,海丰县
720,新余,渝水区
721,绥化,北林区
722,景德镇,昌江区
723,绵阳,游仙区
724,大理白族自治州,大理市
725,福州,平潭县
726,镇江,句容市
727,双鸭山,尖山区
728,肇庆,广宁县
729,长沙,开福区
730,唐山,迁西县
731,黄山,歙县
732,上饶,余干县
733,湛江,廉江市
734,荆门,掇刀区
735,南昌,进贤县
736,拉萨,城关区
737,长沙,望城区
738,鹰潭,月湖区
739,周口,郸城县
740,衡水,武强县
741,长春,农安县
742,南平,浦城县
743,贵港,港南区
744,南宁,兴宁区
745,荆州,松滋市
746,广州,花都区
747,湛江,吴川市
748,嘉兴,嘉善县
749,乌海,海勃湾区
750,安阳,殷都区
751,石家庄,桥西区
752,红河哈尼族彝族自治州,建水县
753,长春,德惠市
754,重庆,万州区
755,济宁,微山县
756,惠州,惠阳区
757,广州,南沙区
758,平顶山,卫东区
759,益阳,赫山区
760,烟台,莱山区
761,张家口,桥东区
762,唐山,丰南区
763,北海,海城区
764,呼和浩特,新城区
765,淮安,金湖县
766,泉州,石狮市
767,楚雄彝族自治州,楚雄市
768,信阳,光山县
769,海口,琼山区
770,六安,金寨县
771,潍坊,诸城市
772,钦州,浦北县
773,北京,顺义区
774,毕节,金沙县
775,合肥,庐江县
776,德州,德城区
777,渭南,蒲城县
778,菏泽,曹县
779,徐州,新沂市
780,营口,站前区
781,哈密市,伊州区
782,洛阳,瀍河回族区
783,汕头,金平区
784,潮州,湘桥区
785,蚌埠,五河县
786,吕梁,中阳县
787,荆州,公安县
788,珠海,金湾区
789,淮安,涟水县
790,临沂,沂南县
791,宜昌,兴山县
792,绍兴,上虞区
793,丽水,云和县
794,桂林,叠彩区
795,孝感,汉川市
796,盘锦,兴隆台区
797,崇左,江州区
798,扬州,宝应县
799,玉溪,峨山彝族自治县
800,榆林,府谷县
801,舟山,岱山县
802,湘潭,湘乡市
803,恩施土家族苗族自治州,恩施市
804,合肥,长丰县
805,淮安,盱眙县
806,佳木斯,富锦市
807,株洲,醴陵市
808,阜阳,太和县
809,张家口,宣化区
810,亳州,谯城区
811,天津,宝坻区
812,烟台,福山区
813,巴彦淖尔,乌拉特中旗
814,邵阳,双清区
815,济南,市中区
816,丽水,莲都区
817,鄂州,鄂城区
818,泉州,洛江区
819,大连,西岗区
820,兰州,城关区
821,滁州,来安县
822,十堰,郧西县
823,广州,番禺区
824,重庆,大渡口区
825,安庆,太湖县
826,恩施土家族苗族自治州,利川市
827,成都,新津县
828,徐州,邳州市
829,安顺,普定县
830,亳州,蒙城县
831,大庆,大同区
832,绵阳,三台县
833,吉安,泰和县
834,白山,靖宇县
835,遂宁,船山区
836,沧州,青县
837,牡丹江,海林市
838,阳江,江城区
839,鹤壁,淇滨区
840,钦州,钦北区
841,宁德,霞浦县
842,赣州,寻乌县
843,朝阳,双塔区
844,枣庄,薛城区
845,镇江,丹徒区
846,安阳,内黄县
847,广州,从化区
848,达州,通川区
849,玉林,玉州区
850,兰州,永登县
851,宜昌,猇亭区
852,内江,威远县
853,扬州,江都区
854,舟山,定海区
855,成都,金堂县
856,攀枝花,西区
857,甘孜藏族自治州,泸定县
858,邢台,桥西区
859,汉中,宁强县
